"","logFC","AveExpr","t","P.Value","adj.P.Val","B","shift"
"TRIPTOLIDE_Broad",0.97227536231884,0.895041666666667,16.3349780930093,1.10794658497951e-12,1.60652254822028e-10,19.2966243964182,-0.00935714285714285
"MG132_Broad",0.900615942028985,0.7235,15.3140466233825,3.49735854632546e-12,2.53558494608596e-10,18.1484356555993,0.0117857142857143
"DAPORINAD_Broad",0.954340579710145,0.777166666666667,13.0193365941007,5.9972836337572e-11,2.89868708964931e-09,15.2872314557609,-0.00771428571428574
"GMX1778_Broad",0.935702898550724,0.760208333333333,12.7622000305341,8.45644358732194e-11,3.0654608004042e-09,14.9394649549648,-0.0159285714285715
"STAUROSPORINE_Custom Clinical",0.786644927536232,0.823375,12.3714420416512,1.44092128780838e-10,4.17867173464431e-09,14.3994525769668,0.00742857142857144
"PLICAMYCIN_NCI_Onc_AOD",0.826985507246377,0.724958333333333,11.8155776098892,3.14788901665322e-10,7.60739845691195e-09,13.6063295991427,-0.00650000000000003
"HOMOHARRINGTONINE_Broad",0.744963768115942,0.801708333333333,11.6494455299227,3.99808924268429e-10,8.28175628841746e-09,13.3633899003278,-0.0348571428571428
"DINACICLIB_Broad",0.852855072463768,0.847041666666667,11.2512503269611,7.16816331121236e-10,1.29922960015724e-08,12.7696352846083,-0.0292142857142857
"OMACETAXINEMEPESUCCINATE_NCI_Onc_AOD",0.740992753623188,0.790458333333333,10.8795774389793,1.25382391324834e-09,2.02004963801121e-08,12.2003823450311,-0.0269285714285714
"CARFILZOMIB_NCI_Onc_AOD",0.867833333333333,0.470958333333333,10.7529357570375,1.52187343639098e-09,2.20671648276692e-08,12.0030035650743,-0.0632857142857143
"BREFELDINA_Broad",0.812673913043478,0.694166666666667,10.5379311616831,2.12276589259443e-09,2.79819140387448e-08,11.6638408899762,0.0532142857142857
"FLAVOPIRIDOLALVOCIDIB_Broad",0.711688405797101,0.729541666666667,10.4202136927192,2.55232634253597e-09,3.08406099723096e-08,11.4759469376269,-0.00664285714285715
"LBH589_Custom Clinical",0.624036231884058,0.737875,9.89054604200419,5.95952299793444e-09,6.64716026692687e-08,10.6107641314062,0.0982857142857143
"NARCICLASINE_Broad",0.775057971014493,0.804958333333333,8.67024503907068,4.760521364358e-08,4.93053998451365e-07,8.48777000409061,-0.0435
"NVPLAQ824_Custom Clinical",0.572507246376811,0.69175,8.43257514291328,7.28950286195213e-08,7.04651943322039e-07,8.05218166173924,0.0806428571428571
"SB743921_Broad",0.491231884057971,0.428083333333333,8.18893687412679,1.1367553334286e-07,1.03018452091967e-06,7.59791456735162,-0.0285
"ELESCLOMOL_Custom Clinical",0.624753623188406,0.763041666666667,7.9485950659375,1.77552625710289e-07,1.48913033449693e-06,7.14203577374694,0.0811428571428571
"OBATOCLAX_Broad",0.629528985507246,0.615166666666667,7.9270646471355,1.84857558765136e-07,1.48913033449693e-06,7.10081878115727,-0.00471428571428572
"SNS032_Broad",0.597050724637681,0.6305,7.87215334252678,2.04934947049644e-07,1.56397722748413e-06,6.99541632966373,0.000499999999999985
"CUCURBITACINI_Broad",0.607797101449275,0.653291666666667,7.78552928226038,2.41329186482192e-07,1.74963660199589e-06,6.8283153269869,-0.102571428571429
"AZD7762_Broad",0.625557971014493,0.400458333333333,7.51884186277514,4.01710012808393e-07,2.77371199320081e-06,6.30750637883262,0.0247142857142857
"ML162_Broad",0.647876811594203,0.513333333333333,6.80612454520827,1.64352630521222e-06,1.08323324661714e-05,4.86865785314734,-0.0194285714285714
"DACTINOMYCIN_NCI_Onc_AOD",0.589333333333333,0.465083333333333,6.49614725804176,3.098569620724e-06,1.95344606523905e-05,4.22189251042228,0.0796428571428571
"EPIRUBICINHYDROCHLORIDE_NCI_Onc_AOD",0.561521739130435,0.548375,6.39544047931916,3.81788486766908e-06,2.30663877421674e-05,4.0091170048831,-0.107
"PLURIPOTIN_Broad",0.438623188405797,0.213791666666667,6.31775715453759,4.48903159177794e-06,2.60363832323121e-05,3.84411666987098,-0.0292142857142857
"OBATOCLAX_Custom Clinical",0.511384057971015,0.553958333333333,6.08932690836842,7.25983930343034e-06,3.9487941443012e-05,3.3546428187906,-0.0203571428571429
"NVPTAE684_Custom Clinical",0.484775362318841,0.427625,6.08331556061338,7.35292702731948e-06,3.9487941443012e-05,3.34167727423565,0.0410714285714286
"BMS754807_Broad",0.508826086956522,0.239916666666667,6.05253647720428,7.84914739473814e-06,4.06473704370368e-05,3.27522491938109,0.0297857142857143
"PF3758309_Broad",0.482507246376812,0.495625,6.01762106217741,8.45393695145672e-06,4.22696847572836e-05,3.19970797115532,0.0955
"TOPOTECAN_Broad",0.404405797101449,0.3485,5.87893858674703,1.13697899562336e-05,5.49539847884622e-05,2.89837431791201,0.0112857142857143
"JNJ26481585_Custom Clinical",0.552789855072464,0.723875,5.85083709782296,1.20768910533724e-05,5.64886839593225e-05,2.83705024027018,0.0588571428571428
"DOXORUBICINHYDROCHLORIDE_NCI_Onc_AOD",0.497652173913044,0.548625,5.78833511604898,1.38160256168296e-05,6.26038660762593e-05,2.70034435088985,-0.0319285714285714
"NSC95397_Broad",0.361391304347826,0.299,5.56474304649481,2.24412358999218e-05,9.86054304693534e-05,2.20790556899405,0.0328571428571429
"DOXORUBICIN_Broad",0.461485507246377,0.47575,5.29616930522205,4.04877032907619e-05,0.000172668146387073,1.60993289780445,-0.0162857142857143
"BARDOXOLONEMETHYL_Broad",0.501905797101449,0.288,5.12955352990792,5.86071665543284e-05,0.000242801118582218,1.23583740380933,-0.0426428571428571
"STF31_Broad",0.447311594202898,0.22225,5.06820248766037,6.72032876239933e-05,0.000270679908485529,1.09755553296413,-0.146357142857143
"MGCD0103_Custom Clinical",0.37681884057971,0.386583333333333,4.99322292542294,7.94762573633564e-05,0.000311461008586126,0.928201689447268,0.0589285714285714
"BAFILOMYCINA1_Broad",0.454724637681159,0.691083333333333,4.88493106578083,0.000101349992938253,0.000386730236211755,0.682979434141521,-0.0417142857142857
"NVPAUY922_Custom Clinical",0.431043478260869,0.547083333333333,4.82629496059534,0.000115656318328022,0.000430004260450337,0.549922505590358,0.0183571428571429
"LY333531_Custom Clinical",0.310195652173913,0.282083333333333,4.78335892992246,0.000127418940080927,0.000461893657793359,0.452381053338612,-0.0427142857142857
"MS275_Custom Clinical",0.297057971014493,0.268083333333333,4.44061912646179,0.000277296258845674,0.000960235144955817,-0.328707910906948,0.0534285714285714
"BMS536924_Broad",0.363347826086956,0.236708333333333,4.43929042062287,0.000278137076469961,0.000960235144955817,-0.33174149794519,0.0182857142857143
"SN38_Broad",0.366543478260869,0.259583333333333,4.37203102544142,0.000324237884970004,0.00109336030978257,-0.485323518272827,-0.0215714285714286
