"","pathway","RMSE"
"1","BIOCARTA_FEEDER_PATHWAY","0.283781302418145"
"2","BIOCARTA_PROTEASOME_PATHWAY","0.41259979390983"
"3","BIOCARTA_KREB_PATHWAY","0.292794877229297"
"4","ST_INTERFERON_GAMMA_PATHWAY","0.308726606704443"
"5","ST_WNT_CA2_CYCLIC_GMP_PATHWAY","0.483729759647823"
"6","ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS","0.525708527169557"
"7","ST_TUMOR_NECROSIS_FACTOR_PATHWAY","1.82703422118783"
"8","ST_ERK1_ERK2_MAPK_PATHWAY","1.93948010896298"
"9","ST_GA12_PATHWAY","0.968273259967954"
"10","ST_G_ALPHA_S_PATHWAY","0.333460927864782"
"11","ST_G_ALPHA_I_PATHWAY","0.731379848614445"
"12","ST_IL_13_PATHWAY","0.308932759436415"
"13","ST_P38_MAPK_PATHWAY","0.48748657293137"
"14","ST_JAK_STAT_PATHWAY","0.323210562472277"
"15","ST_GRANULE_CELL_SURVIVAL_PATHWAY","1.62249223964116"
"16","ST_ADRENERGIC","1.1819638831233"
"17","ST_INTEGRIN_SIGNALING_PATHWAY","0.448999626643367"
"18","ST_GAQ_PATHWAY","1.68129600225288"
"19","ST_GA13_PATHWAY","0.630587336986929"
"20","ST_STAT3_PATHWAY","0.372299202504916"
"21","ST_T_CELL_SIGNAL_TRANSDUCTION","0.47695407124635"
"22","ST_TYPE_I_INTERFERON_PATHWAY","0.337941473993845"
"23","ST_PAC1_RECEPTOR_PATHWAY","0.312992535044436"
"24","ST_B_CELL_ANTIGEN_RECEPTOR","1.12307889547655"
"25","ST_INTERLEUKIN_4_PATHWAY","0.44423272358202"
"26","ST_WNT_BETA_CATENIN_PATHWAY","1.11448414555171"
"27","ST_JNK_MAPK_PATHWAY","0.606327054112389"
"28","ST_FAS_SIGNALING_PATHWAY","0.557486723059929"
"29","ST_MYOCYTE_AD_PATHWAY","0.359740850945109"
"30","ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY","0.547956335938455"
"31","REACTOME_REMOVAL_OF_THE_FLAP_INTERMEDIATE_FROM_THE_C_STRAND","0.329231680795804"
"32","BIOCARTA_RELA_PATHWAY","0.469414216577305"
"33","BIOCARTA_NO1_PATHWAY","1.93834186717036"
"34","BIOCARTA_CSK_PATHWAY","0.395094444676515"
"35","BIOCARTA_SRCRPTP_PATHWAY","0.310492162744117"
"36","BIOCARTA_AMI_PATHWAY","0.563177434991532"
"37","BIOCARTA_GRANULOCYTES_PATHWAY","0.401267371698292"
"38","BIOCARTA_LYM_PATHWAY","0.388358817896415"
"39","BIOCARTA_ARAP_PATHWAY","0.384131798321384"
"40","BIOCARTA_AGR_PATHWAY","1.61878327542477"
"41","BIOCARTA_AKAP95_PATHWAY","0.324512106924552"
"42","BIOCARTA_AKT_PATHWAY","0.821746508149293"
"43","BIOCARTA_ALK_PATHWAY","0.17051553451779"
"44","BIOCARTA_AT1R_PATHWAY","1.34253855236282"
"45","BIOCARTA_ACE2_PATHWAY","0.376867922467155"
"46","BIOCARTA_ASBCELL_PATHWAY","0.348002004197174"
