"","pathway","RMSE","Pearson"
"1","BIOCARTA_FEEDER_PATHWAY","0.315666242342777","0.204985893188457"
"2","BIOCARTA_PROTEASOME_PATHWAY","0.405679330449566","0.260218551314851"
"3","BIOCARTA_KREB_PATHWAY","0.315072572176943","0.194322188386395"
"4","ST_INTERFERON_GAMMA_PATHWAY","0.356610213387842","-0.0955889012040181"
"5","ST_WNT_CA2_CYCLIC_GMP_PATHWAY","0.474075147911745","0.0675635714954744"
"6","ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS","0.442799481277617","0.144582062926127"
"7","ST_TUMOR_NECROSIS_FACTOR_PATHWAY","1.54681026335472","0.0299135752995427"
"8","ST_ERK1_ERK2_MAPK_PATHWAY","2.22755016955576","0.185910212382309"
"9","ST_GA12_PATHWAY","0.857759530495691","-0.163592235241112"
"10","ST_G_ALPHA_S_PATHWAY","0.318313070935908","0.395618695297799"
"11","ST_G_ALPHA_I_PATHWAY","0.953289202794011","0.0505193846879674"
"12","ST_IL_13_PATHWAY","0.35921511488139","-0.175200021489839"
"13","ST_P38_MAPK_PATHWAY","0.416461989365817","0.416590538900409"
"14","ST_JAK_STAT_PATHWAY","0.348553921373309","-0.0127891863273947"
"15","ST_GRANULE_CELL_SURVIVAL_PATHWAY","1.17691245830291","-0.0419641973803427"
"16","ST_ADRENERGIC","1.80855068099844","-0.156280531422603"
"17","ST_INTEGRIN_SIGNALING_PATHWAY","0.529284268173652","0.0850507973947915"
"18","ST_GAQ_PATHWAY","0.744295505467063","0.0418429034464127"
"19","ST_GA13_PATHWAY","0.813330575853744","0.123713724722904"
"20","ST_STAT3_PATHWAY","0.378526933674451","-0.06535191387918"
"21","ST_T_CELL_SIGNAL_TRANSDUCTION","0.592725126032388","0.0274067169839089"
"22","ST_TYPE_I_INTERFERON_PATHWAY","0.351747485831815","-0.0295758210599943"
"23","ST_PAC1_RECEPTOR_PATHWAY","0.313275013352344","0.140489546576585"
"24","ST_B_CELL_ANTIGEN_RECEPTOR","1.28087475994597","-0.328788412721925"
"25","ST_INTERLEUKIN_4_PATHWAY","0.462289736655942","0.330750146320466"
"26","ST_WNT_BETA_CATENIN_PATHWAY","1.19956352730397","-0.0115852980071794"
"27","ST_JNK_MAPK_PATHWAY","0.808413056736676","0.0961158882960739"
"28","ST_FAS_SIGNALING_PATHWAY","0.579195350802885","0.115174786654366"
"29","ST_MYOCYTE_AD_PATHWAY","0.229586400863353","0.76922956282113"
"30","ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY","0.636473345228635","0.299852104747105"
"31","REACTOME_REMOVAL_OF_THE_FLAP_INTERMEDIATE_FROM_THE_C_STRAND","0.352948710304617","0.0445546542374453"
"32","BIOCARTA_RELA_PATHWAY","0.460066377264871","-0.0729259064865275"
"33","BIOCARTA_NO1_PATHWAY","1.0318252641534","0.0340467569785229"
"34","BIOCARTA_CSK_PATHWAY","0.420638323449266","0.358293953220303"
"35","BIOCARTA_SRCRPTP_PATHWAY","0.340370453465707","0.144503350420265"
"36","BIOCARTA_AMI_PATHWAY","0.740840090708046","0.161498271437275"
"37","BIOCARTA_GRANULOCYTES_PATHWAY","0.436338173602499","-0.10279848646701"
"38","BIOCARTA_LYM_PATHWAY","0.437213092561752","-0.198428775929857"
"39","BIOCARTA_ARAP_PATHWAY","0.378296795177101","0.150892146284175"
"40","BIOCARTA_AGR_PATHWAY","3.78890068080589","-0.0184036258048291"
"41","BIOCARTA_AKAP95_PATHWAY","0.294446084912112","0.362692971559962"
"42","BIOCARTA_AKT_PATHWAY","0.741942445976949","-0.147602409452479"
"43","BIOCARTA_ALK_PATHWAY","0.173206046403588","0.796703899648132"
"44","BIOCARTA_AT1R_PATHWAY","1.19520877356434","-0.193725923063444"
"45","BIOCARTA_ACE2_PATHWAY","0.394415515533278","0.134414445474419"
"46","BIOCARTA_ASBCELL_PATHWAY","0.330308442491175","0.26683255164825"
"47","BIOCARTA_DNAFRAGMENT_PATHWAY","0.295321638390066","0.342821584567985"
"48","BIOCARTA_CHEMICAL_PATHWAY","0.361655305682013","0.309481225086016"
"49","BIOCARTA_SPPA_PATHWAY","0.308046444992665","0.442116592952768"
"50","BIOCARTA_ATM_PATHWAY","0.521361706938833","0.0784027959928196"
"51","BIOCARTA_AGPCR_PATHWAY","0.298091588084302","0.403157610940807"
"52","BIOCARTA_BCELLSURVIVAL_PATHWAY","0.416574183113479","-0.0295811614379381"
"53","BIOCARTA_BLYMPHOCYTE_PATHWAY","0.358643739674274","0.140538266282952"
"54","BIOCARTA_BCR_PATHWAY","0.44057104263321","0.50086500651726"
"55","BIOCARTA_BIOPEPTIDES_PATHWAY","0.960301900363442","0.120837745046136"
"56","BIOCARTA_RANKL_PATHWAY","0.395132561379848","-0.198940203597249"
"57","BIOCARTA_CACAM_PATHWAY","0.266580346716206","0.451243058757896"
"58","BIOCARTA_CDMAC_PATHWAY","0.4297119724463","0.1831851937792"
"59","BIOCARTA_CARM_ER_PATHWAY","0.64588388946782","0.16855061673368"
"60","BIOCARTA_CASPASE_PATHWAY","0.600329508205677","-0.0715987928961636"
"61","BIOCARTA_CBL_PATHWAY","0.345032269841111","0.109057656070003"
"62","BIOCARTA_CCR3_PATHWAY","0.555119436670595","-0.19874367302215"
"63","BIOCARTA_CD40_PATHWAY","0.326053634030739","0.303692942628976"
"64","BIOCARTA_MCM_PATHWAY","0.44299529450351","0.116710956459969"
"65","BIOCARTA_G1_PATHWAY","1.0113436936896","0.07122870110877"
"66","BIOCARTA_G2_PATHWAY","0.885277497950509","-0.173733277952886"
"67","BIOCARTA_CELL2CELL_PATHWAY","0.390113252865175","-0.169990880887584"
"68","BIOCARTA_LAIR_PATHWAY","0.399594735685187","0.168088767647748"
"69","BIOCARTA_CERAMIDE_PATHWAY","0.439770071693816","0.233744395150854"
"70","BIOCARTA_TID_PATHWAY","0.55446891212565","-0.0847601961818103"
"71","BIOCARTA_CLASSIC_PATHWAY","0.398777256464947","-0.0026440812742425"
"72","BIOCARTA_COMP_PATHWAY","0.582389973123449","0.117931695910744"
"73","BIOCARTA_VDR_PATHWAY","0.460423083585538","0.197219319355908"
"74","BIOCARTA_HDAC_PATHWAY","0.808880193706686","-0.0966121236675634"
"75","BIOCARTA_GCR_PATHWAY","0.401074974274778","0.102146171940562"
"76","BIOCARTA_CTCF_PATHWAY","0.622662997886826","0.14406456681712"
"77","BIOCARTA_CTL_PATHWAY","0.469546799412981","0.143303648071349"
"78","BIOCARTA_CXCR4_PATHWAY","0.459430338909922","0.225698212990172"
"79","BIOCARTA_CELLCYCLE_PATHWAY","0.895950708264557","-0.142548544192791"
"80","BIOCARTA_CFTR_PATHWAY","0.314155756845704","0.310512842532401"
"81","BIOCARTA_CYTOKINE_PATHWAY","0.366531616811164","0.0205386040902071"
"82","BIOCARTA_INFLAM_PATHWAY","0.471682805877088","0.24555259750341"
"83","BIOCARTA_D4GDI_PATHWAY","0.31506536987249","0.327124146512881"
"84","BIOCARTA_DC_PATHWAY","0.262535931501067","0.56977481791471"
"85","BIOCARTA_P35ALZHEIMERS_PATHWAY","0.3334909983744","-0.0757440942765772"
"86","BIOCARTA_RNA_PATHWAY","0.315306741707376","0.247569000278912"
"87","BIOCARTA_MTA3_PATHWAY","0.343591363309707","0.312437417806172"
"88","BIOCARTA_SKP2E2F_PATHWAY","0.359687413351456","-0.0921278682696297"
"89","BIOCARTA_CALCINEURIN_PATHWAY","0.454672110793769","0.229975527289123"
"90","BIOCARTA_EGF_PATHWAY","1.01156918788882","0.158098227088763"
"91","BIOCARTA_ETC_PATHWAY","0.366323239711686","-0.0103753048494457"
"92","BIOCARTA_NDKDYNAMIN_PATHWAY","0.32802443061755","0.36370277440752"
"93","BIOCARTA_EPHA4_PATHWAY","0.359501628644301","-0.490077567463138"
"94","BIOCARTA_EPO_PATHWAY","0.494109432670942","0.0802249410083827"
"95","BIOCARTA_ECM_PATHWAY","0.390479965280244","0.326911857101045"
"96","BIOCARTA_ERK_PATHWAY","0.750014358637496","0.164011594675525"
"97","BIOCARTA_ERYTH_PATHWAY","0.454446826179996","-0.189686938981644"
"98","BIOCARTA_EPONFKB_PATHWAY","0.404652584120959","-0.222412010684866"
"99","BIOCARTA_EIF_PATHWAY","0.272711009064428","0.557577129355767"
"100","BIOCARTA_EXTRINSIC_PATHWAY","0.690186537216972","-0.0363483521409737"
"101","BIOCARTA_FAS_PATHWAY","0.47682186356529","0.497597011117284"
"102","BIOCARTA_FCER1_PATHWAY","0.492791312199703","0.178666296457452"
"103","BIOCARTA_FIBRINOLYSIS_PATHWAY","0.737763011276431","-0.00966252653874393"
"104","BIOCARTA_FMLP_PATHWAY","0.605801042468407","0.316024861177949"
"105","BIOCARTA_FREE_PATHWAY","0.397696373191194","-0.212118066524863"
"106","BIOCARTA_GABA_PATHWAY","0.418275419360276","-0.463464831058036"
"107","BIOCARTA_GATA3_PATHWAY","0.299633381601913","0.342847136131082"
"108","BIOCARTA_SET_PATHWAY","0.30945961958297","0.287308717713578"
"109","BIOCARTA_GH_PATHWAY","1.18955614987221","-0.110072048002173"
"110","BIOCARTA_AHSP_PATHWAY","0.36674471465943","-0.170608561190336"
"111","BIOCARTA_TCAPOPTOSIS_PATHWAY","0.3997945311527","0.24057744855341"
"112","BIOCARTA_HIVNEF_PATHWAY","0.378557111718485","0.303680478381323"
"113","BIOCARTA_SALMONELLA_PATHWAY","0.296433992895664","0.10847510291193"
"114","BIOCARTA_MPR_PATHWAY","0.461473393038982","0.160222990433277"
"115","BIOCARTA_HCMV_PATHWAY","0.313593876720243","0.395346195837259"
"116","BIOCARTA_P53HYPOXIA_PATHWAY","0.815761116652279","0.151915926532493"
"117","BIOCARTA_HIF_PATHWAY","0.258653322883993","0.591618784648539"
"118","BIOCARTA_IGF1_PATHWAY","0.474508730097971","0.344440436207496"
"119","BIOCARTA_IL17_PATHWAY","0.554684850232359","0.0247385926026424"
"120","BIOCARTA_IL2_PATHWAY","0.566054119243845","-0.0905921848867115"
"121","BIOCARTA_IL3_PATHWAY","0.414368365271057","-0.0101104686057928"
"122","BIOCARTA_IL4_PATHWAY","0.38798941291833","-0.372407434886128"
"123","BIOCARTA_IL5_PATHWAY","0.357282149483449","0.0581042868913413"
"124","BIOCARTA_IL6_PATHWAY","0.524271405769312","-0.035117667791664"
"125","BIOCARTA_IL10_PATHWAY","0.364977684571586","0.0535501087603761"
"126","BIOCARTA_IL12_PATHWAY","0.356690923700712","0.567554864156797"
"127","BIOCARTA_IL2RB_PATHWAY","0.57629588178862","0.362847215110768"
"128","BIOCARTA_IL22BP_PATHWAY","0.342762916856805","0.0730127827801265"
"129","BIOCARTA_IL7_PATHWAY","0.477739482831392","-0.106276821951248"
"130","BIOCARTA_GSK3_PATHWAY","0.401762571950694","0.344052765260361"
"131","BIOCARTA_DEATH_PATHWAY","0.730550077854248","0.389925213592441"
"132","BIOCARTA_RACCYCD_PATHWAY","0.905181648499878","-0.135376205917106"
"133","BIOCARTA_GLEEVEC_PATHWAY","0.624084203380853","-0.0148882800219022"
"134","BIOCARTA_INSULIN_PATHWAY","0.504858571719211","0.133433974982339"
"135","BIOCARTA_INTEGRIN_PATHWAY","0.514286694793257","0.343563841369783"
"136","BIOCARTA_INTRINSIC_PATHWAY","0.339745160194687","0.466078882807107"
"137","BIOCARTA_KERATINOCYTE_PATHWAY","0.549596960811186","-0.028093511677797"
"138","BIOCARTA_TCRA_PATHWAY","0.39683360708494","-0.0418638867043046"
"139","BIOCARTA_LECTIN_PATHWAY","0.402848590504595","-0.0891885633943646"
"140","BIOCARTA_PYK2_PATHWAY","1.27517369653556","-0.446171568277668"
"141","BIOCARTA_EGFR_SMRTE_PATHWAY","0.372914732752919","-0.0562003138247118"
"142","BIOCARTA_MAPK_PATHWAY","0.405090266652901","0.237219213867676"
"143","BIOCARTA_MCALPAIN_PATHWAY","0.409685382715957","0.306814632101646"
"144","BIOCARTA_PPARA_PATHWAY","0.729179965901504","-0.0162212621490076"
"145","BIOCARTA_ETS_PATHWAY","0.406726896505246","0.128446083433966"
"146","BIOCARTA_MONOCYTE_PATHWAY","0.449301772576169","-0.385121620599942"
"147","BIOCARTA_MTOR_PATHWAY","0.713298832335053","-0.301834423551004"
"148","BIOCARTA_IGF1R_PATHWAY","0.469820845378299","0.289346730838703"
"149","BIOCARTA_PITX2_PATHWAY","0.436533101033854","-0.121518651523981"
"150","BIOCARTA_NGF_PATHWAY","0.490021628231586","0.227382388559852"
"151","BIOCARTA_VIP_PATHWAY","0.679321403618865","0.131575271388894"
"152","BIOCARTA_NFAT_PATHWAY","0.858802687579253","-0.0237702466830615"
"153","BIOCARTA_NTHI_PATHWAY","0.613387284617326","-0.048668037738618"
"154","BIOCARTA_NFKB_PATHWAY","0.542540983689623","0.0512841003856188"
"155","BIOCARTA_NOS1_PATHWAY","0.582366347210238","0.0754054513849695"
"156","BIOCARTA_NO2IL12_PATHWAY","0.552620847707543","0.183061460878797"
"157","BIOCARTA_RARRXR_PATHWAY","0.351847548601855","0.0749756020270958"
"158","BIOCARTA_NUCLEARRS_PATHWAY","0.341297846486802","0.544420692046021"
"159","BIOCARTA_ARENRF2_PATHWAY","0.601800130755898","0.210703888083893"
