id,PIM010,PIM014,PIM024,PIM051,PIM025,PIM038,PIM040,PIM046,PIM053,PIM056,PIM068,PIM077,PIM091,PIM137,PIM172,PIM163,PIM164,PIM190,PIM231,PIM269,PIM242,PIM254,PIM311,PIM262,PIM284,PIM321,PIM300,PIM328,PIM387,PIM402,PIM407,PIM388,PIM393,PIM404
BIOCARTA_FEEDER_PATHWAY,0.8731,1.4212,0.5236,0.9451,1.6586,1.4471,1.7093,1.2101,1.8166,2.9359,-0.206,1.2941,0.7605,1.6028,1.2828,1.3511,0.4187,1.687,2.2122,1.0797,0.8997,1.7053,1.7111,0.5925,0.6496,1.597,1.442,1.4904,0.8882,1.0002,0.7413,1.3862,1.4622,1.1023
BIOCARTA_PROTEASOME_PATHWAY,8.5211,8.4037,8.4006,8.1235,8.2627,7.7926,8.5542,7.9419,8.606,7.9053,7.9398,8.3033,7.8832,8.4945,8.789,8.2567,8.2898,8.6866,8.4444,8.004,8.4304,7.9764,8.2979,8.0923,8.4577,8.0341,8.5867,8.4206,7.8904,8.7679,8.4885,8.4456,8.4198,8.3015
BIOCARTA_KREB_PATHWAY,4.9265,4.9213,4.6925,5.3354,4.872,4.9461,5.3934,5.1835,5.3844,5.2899,4.9351,4.9461,5.2255,4.7627,4.8358,5.0478,5.0512,5.1003,4.2213,4.4572,4.7695,4.9803,4.9048,4.4174,4.8506,4.8824,4.9005,4.6497,4.7879,5.2654,4.8871,4.9949,4.8288,4.9299
ST_INTERFERON_GAMMA_PATHWAY,2.1695,1.3721,0.8969,0.2592,1.1817,0.5218,-0.3096,1.0128,0.4702,1.8474,0.8392,0.8791,2.7907,0.0447,0.1846,0.4487,-0.2034,0.0384,1.3135,1.223,1.0801,1.6399,2.6841,2.712,2.2964,1.5216,1.5365,0.6601,0.1915,0.1496,0.0264,1.5962,2.42,1.201
ST_WNT_CA2_CYCLIC_GMP_PATHWAY,0.7371,-0.7316,-1.148,-1.8148,0.3696,0.6601,-2.2125,-1.7769,-1.6968,0.1894,-1.25,-0.325,0.0773,0.5846,0.2614,-2.2044,-1.1897,-0.5026,-0.2099,-0.4981,-0.7622,-0.413,0.4318,-0.4926,-1.5826,-1.6018,0.6616,-0.9649,-1.9964,-1.9531,-2.7121,-0.6289,-1.2552,-1.8905
ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS,2.015,0.236,0.2909,-0.2624,3.7335,4.1741,1.0283,1.5892,2.5542,2.2968,1.4681,2.1419,1.96,2.7612,2.1682,0.3379,1.8433,-0.2671,3.5629,1.1982,1.7959,0.7432,1.26,1.8019,1.0604,2.4087,2.3557,3.0675,1.0906,0.7226,1.8591,2.4342,2.6993,2.0148
ST_TUMOR_NECROSIS_FACTOR_PATHWAY,0.2873,2.7329,1.195,1.7294,2.9326,2.6244,1.534,1.7047,0.2886,4.7535,0.5195,2.4895,1.7699,1.908,2.1073,1.076,-1.6632,1.4,1.485,1.9019,0.8622,3.0716,3.5433,2.2067,1.2281,1.6517,2.295,1.1722,-1.2274,-0.6297,-1.0061,1.7808,2.7988,1.4234
ST_ERK1_ERK2_MAPK_PATHWAY,2.0383,2.1284,2.4053,2.0534,4.9648,4.4611,3.5356,3.1707,4.2869,4.1439,2.6865,4.0765,4.2633,2.2877,2.5271,1.7077,2.6503,2.855,4.6772,2.5887,2.3872,2.8914,2.7766,4.0968,4.1481,4.5497,3.1449,2.9548,1.9704,2.4305,2.4991,3.7794,3.8498,3.7749
ST_GA12_PATHWAY,-2.0983,0.438,-0.5156,-0.5272,-0.1432,-0.5281,0.5382,-0.6461,-0.4066,-0.0362,-2.4947,-0.4164,6.00E-04,0.4581,0.4149,-2.0093,-1.1275,-0.2087,0.6081,-0.6847,-0.3334,-0.4645,-0.6559,-1.3749,-1.4803,-0.958,-0.2497,-1.2896,-1.4677,-1.6053,-1.7059,0.0375,0.7579,-0.6057
ST_G_ALPHA_S_PATHWAY,1.4666,0.1796,0.2758,-0.0014,3.0696,3.7827,3.0875,1.5489,2.8573,3.0436,0.9667,1.8514,2.5501,1.7003,2.1152,0.6179,1.2492,0.8139,2.957,1.9342,2.4491,1.5708,1.9812,2.4246,1.8357,2.3617,3.0915,2.762,1.4835,1.6522,1.4442,2.2929,2.4061,1.4512
ST_G_ALPHA_I_PATHWAY,2.9886,1.1275,0.8712,0.503,2.6184,1.7439,0.864,-0.116,1.6115,2.084,0.2958,2.1438,1.7459,1.7857,1.3974,-0.815,1.8316,0.7422,2.2871,2.3369,2.382,1.348,2.3046,2.1808,1.8677,0.2693,2.5579,1.7135,-0.079,0.0711,0.0832,2.1895,2.1489,0.5212
ST_IL_13_PATHWAY,0.2337,-0.217,-1.0374,-1.8126,1.3876,-0.1128,-2.0208,-1.1887,-0.542,-0.2221,-1.6708,-0.8015,0.1874,-1.4772,-0.7563,-2.2913,1.6521,-1.9844,0.4824,0.5579,-0.3582,0.2391,0.8007,0.3792,-0.4378,-0.3156,0.3625,-0.8847,-1.4253,-1.3074,-1.0198,-0.7156,0.0193,-1.1235
ST_P38_MAPK_PATHWAY,3.538,2.2086,2.9312,2.7334,5.0345,3.9259,4.0628,3.8589,4.3039,3.8027,3.2142,4.0708,3.5942,3.1139,3.1203,3.5626,3.0855,3.6146,3.9484,3.8711,3.3171,3.5696,3.8734,3.9216,3.8584,3.7312,4.6524,3.7746,3.4536,3.1981,3.4749,4.0441,4.225,3.5552
ST_JAK_STAT_PATHWAY,0.2926,0.133,-0.4793,-0.7234,-0.7554,-0.5631,-2.299,-1.6031,-0.1814,0.071,-1.2461,0.2286,1.4024,-1.5792,-1.2132,-1.1443,-0.456,-0.1879,0.588,-0.329,0.2656,-0.0763,0.0671,-0.1097,-0.8282,-0.4209,0.3372,-0.0117,-0.5874,-1.8025,-1.3931,0.2727,0.9422,-0.2114
ST_GRANULE_CELL_SURVIVAL_PATHWAY,-0.9868,-0.5582,-0.8027,-1.1652,1.1637,0.8661,0.5333,-0.2859,1.2781,0.0817,-1.4256,-0.153,-0.2078,0.2821,0.5943,-0.9032,0.1455,-0.8468,1.0337,-0.6187,-0.2565,-0.7543,-0.1844,-0.0411,-0.3472,0.0267,0.0102,0.069,-0.4643,-1.1533,-0.1991,1.4841,0.9654,0.7873
ST_ADRENERGIC,0.5102,0.0815,-0.2876,-0.4782,1.515,1.2026,0.3335,-0.1179,1.6424,0.4798,-0.1759,1.229,2.0038,1.9605,1.2869,-0.3984,-0.7661,-0.8926,1.4977,0.4827,0.417,0.1768,1.0343,0.5642,-0.2596,-0.1386,1.8672,0.8891,-0.6758,-1.2828,-1.1195,1.6854,1.8979,0.8669
ST_INTEGRIN_SIGNALING_PATHWAY,5.4675,3.3559,3.4199,3.1496,5.6078,6.0362,3.3299,2.9402,2.5712,4.8585,3.6434,5.0031,1.4805,3.7682,4.1015,2.3915,4.2994,3.4416,6.2858,4.0944,3.9073,4.1864,4.0398,3.9859,3.3787,4.3615,4.4265,4.1778,3.1436,3.1288,3.018,3.9681,4.0774,3.7583
ST_GAQ_PATHWAY,2.9454,2.4865,2.0004,2.0134,2.387,2.2092,1.5126,1.1111,2.1851,4.2076,0.9333,3.3092,2.9984,2.8717,2.5321,0.0809,1.304,1.6398,2.0095,2.8376,2.7192,3.1524,3.2216,2.1415,1.7262,1.6706,2.8805,2.0627,0.9259,0.4771,-0.1342,2.0533,2.4019,0.5987
ST_GA13_PATHWAY,4.8322,3.7234,3.459,3.3856,3.7011,3.3143,1.7529,2.5719,2.5037,5.4867,2.3812,3.9212,3.3946,4.8077,3.6353,1.9425,2.789,2.9818,2.9203,3.9493,4.0016,4.1904,4.5515,3.4568,2.9352,2.32,4.1959,2.8275,2.1587,2.2962,1.5422,3.4335,4.1813,2.358
ST_STAT3_PATHWAY,-0.5193,-0.3938,-0.8047,-0.9938,-0.1484,-0.6393,-2.6063,-1.4775,-0.508,0.4429,-1.3272,-0.2931,0.2074,-1.1804,-1.6298,-1.2806,-1.6249,-0.5384,-0.0043,-0.1793,0.2451,-0.214,0.199,-0.6521,-0.8065,-0.8174,-0.2923,-0.0451,-1.6619,-2.2459,-2.2677,0.7493,1.3385,-0.104
ST_T_CELL_SIGNAL_TRANSDUCTION,-1.1029,-0.9884,-1.7282,-1.4462,0.37,0.2213,-1.0615,-1.5305,-1.199,-1.0397,-1.0376,-0.2355,-1.6613,-1.1973,-0.7986,-1.9289,-0.4965,-2.0836,-0.5833,-0.7836,-0.5759,-1.5057,-1.067,-0.6619,-0.8913,-1.6692,-0.6982,-0.8028,-2.9597,-2.8878,-2.5373,-1.4198,-0.8767,-0.6746
