Clean,PIM046,PIM053,PIM056,PIM068,PIM077,PIM091,PIM137,PIM172,PIM163,PIM164,PIM190,PIM231,PIM242,PIM269,PIM254,PIM311,PIM262,PIM284,PIM300,PIM328,PIM387,PIM402,PIM407,PIM388,PIM393,PIM404,PIM010,PIM014,PIM024,PIM051,PIM025,PIM038,PIM040
GSKJ4_Broad,0.20,0.16,0.21,0.31,0.07,0.17,0.16,0.14,0.30,0.45,0.19,0.29,0.19,0.07,0.06,0.20,0.20,0.21,0.19,0.21,0.24,0.20,0.23,0.25,0.29,0.27,0.15,0.35,0.29,0.49,0.14,0.22,0.31
VER155008_Broad,0.10,0.08,0.07,0.05,0.06,0.06,0.21,0.23,0.07,0.03,0.08,0.14,0.11,0.04,0.16,0.16,0.01,-0.03,0.09,0.11,0.07,0.02,0.05,0.17,0.15,0.18,0.07,0.19,0.01,0.10,0.19,0.18,0.15
SB225002_Broad,0.14,0.04,0.27,0.47,0.08,0.01,0.19,0.22,0.21,0.18,0.07,0.13,0.18,0.07,0.12,0.18,0.14,0.21,0.21,0.15,0.20,0.07,0.08,0.14,0.15,0.12,0.16,0.23,0.39,0.39,0.03,0.14,0.12
JW74_Broad,0.02,-0.01,-0.08,-0.06,-0.01,-0.02,0.03,0.01,0.05,-0.01,-0.07,0.00,0.03,0.01,0.01,0.03,0.01,0.03,-0.09,-0.06,-0.03,-0.02,0.01,-0.05,-0.04,-0.05,-0.02,0.01,0.05,0.14,-0.06,-0.05,0.01
MITOMYCIN_Broad,0.04,-0.02,0.28,0.16,0.17,0.02,0.03,0.07,0.03,0.48,-0.01,0.03,0.00,0.00,0.05,0.09,0.04,0.42,0.17,0.82,0.78,0.72,0.13,0.89,-0.06,-0.02,-0.03,0.00,0.07,0.16,0.22,0.31,-0.01
GW405833_Broad,0.14,0.04,0.02,0.18,0.07,0.00,0.13,0.14,0.10,0.04,-0.01,0.09,0.07,0.02,0.09,0.22,0.17,0.14,0.05,0.05,0.04,-0.07,0.03,0.04,0.04,0.03,0.01,0.16,0.18,0.33,-0.02,0.02,0.07
PIFITHRINMU_Broad,0.23,0.07,0.20,0.28,0.13,0.21,0.22,0.20,0.21,0.09,0.18,0.12,0.11,0.14,0.12,0.22,0.05,0.23,0.20,0.19,0.06,0.06,0.03,0.26,0.18,0.28,0.20,0.26,0.27,0.21,0.17,0.29,0.05
AM580_Broad,0.05,0.08,0.00,0.00,-0.02,0.01,0.02,0.01,0.10,-0.02,0.04,0.02,0.03,0.05,0.07,0.05,0.03,0.09,0.09,0.05,0.06,0.00,0.01,0.10,0.09,0.11,-0.01,0.03,0.01,0.18,-0.02,0.03,0.10
CCT036477_Broad,0.09,0.00,0.01,0.21,-0.04,-0.03,0.03,0.00,0.13,0.09,-0.02,-0.01,0.02,0.00,0.00,0.09,0.06,0.21,-0.03,0.04,0.03,-0.06,0.05,0.04,0.02,0.09,-0.05,-0.02,0.05,0.03,0.02,0.05,0.03
PF750_Broad,0.03,0.01,-0.09,0.02,-0.13,-0.02,0.03,0.06,0.06,0.01,-0.04,0.04,0.00,-0.02,0.04,0.08,0.02,0.07,0.01,0.05,0.02,-0.06,0.04,0.01,-0.02,0.00,0.00,0.00,0.02,0.10,-0.02,-0.02,0.10
